open_time,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-07-26 12:00:00,64507.36,64662.99,64434.0,64466.67,319.29329,20613879.3866953,53713,203.44644,13135615.133383
2026-07-26 13:00:00,64466.68,64571.42,64414.0,64518.0,319.1541,20585758.7168447,42136,163.57915,10550200.2441625
2026-07-26 14:00:00,64517.99,64768.23,64517.99,64712.99,504.24215,32611384.6511881,86836,301.39848,19490734.5367599
2026-07-26 15:00:00,64713.0,64827.0,64673.42,64768.0,313.86895,20326120.8064912,64035,169.92212,11004228.7393874
2026-07-26 16:00:00,64768.0,64940.51,64703.23,64734.17,420.05042,27222221.0579776,63543,208.06396,13486577.5682171
2026-07-26 17:00:00,64734.17,64794.45,64668.91,64697.2,347.81315,22509372.6976601,40944,160.74323,10403013.0573291
2026-07-26 18:00:00,64697.21,64769.99,64668.91,64734.38,114.76281,7425216.5053485,27857,51.12658,3307840.1108286
2026-07-26 19:00:00,64734.39,64753.0,64671.91,64695.52,369.55718,23913561.9997712,30675,178.02445,11519736.189323
2026-07-26 20:00:00,64695.52,64703.36,64631.57,64649.04,120.01782,7761146.6094509,23192,36.04374,2330826.2795174
2026-07-26 21:00:00,64649.04,64924.0,64649.03,64858.02,268.26505,17385342.8134268,58967,135.49976,8781326.5830683
2026-07-26 22:00:00,64858.03,65502.6,64858.03,65412.68,1331.07392,86910581.0334323,149004,731.94431,47793167.0193018
2026-07-26 23:00:00,65412.69,65577.0,65273.76,65399.99,630.14927,41233414.4545812,112541,325.30749,21288809.1707726
2026-07-27 00:00:00,65400.0,65418.81,65065.46,65131.95,465.77387,30365307.7463082,118489,213.41398,13912910.6119541
2026-07-27 01:00:00,65131.96,65225.75,64892.03,65206.21,478.78723,31152880.048241,113071,205.66144,13387814.0191892
2026-07-27 02:00:00,65206.21,65281.64,65118.08,65172.0,475.81825,31025994.1013374,87255,189.71473,12370526.9440115
2026-07-27 03:00:00,65172.02,65367.73,65161.99,65284.0,519.18282,33875124.6812282,72663,270.3072,17632686.4151123
2026-07-27 04:00:00,65284.0,65500.0,65242.69,65282.8,331.55981,21668771.412017,79553,101.10415,6607905.3481487
2026-07-27 05:00:00,65282.81,65493.38,65282.8,65468.38,284.79372,18621372.5335656,66699,130.2359,8515690.9934668
2026-07-27 06:00:00,65468.38,65744.6,65404.9,65416.76,867.3473,56853588.5362016,133867,364.39527,23887052.5116537
2026-07-27 07:00:00,65416.77,65447.02,65217.16,65221.99,1066.09119,69664799.8045196,113482,379.48242,24799261.2661317
2026-07-27 08:00:00,65221.99,65258.0,65128.85,65162.98,724.97518,47269914.2893607,93395,332.29177,21666306.2222296
2026-07-27 09:00:00,65162.98,65348.17,65100.0,65262.17,1478.16072,96429205.0300113,84801,724.51322,47266085.0080639
2026-07-27 10:00:00,65262.18,65432.0,65230.01,65333.35,412.29993,26929198.675902,56592,248.56554,16236546.0455945
2026-07-27 11:00:00,65333.35,65333.36,65092.0,65100.79,287.15002,18723368.9073381,64359,117.27154,7646256.288914
2026-07-27 12:00:00,65100.79,65255.76,64836.0,65086.0,587.73231,38224988.8496335,112418,304.64848,19817174.2396567
2026-07-27 13:00:00,65086.0,65718.0,64913.12,65217.37,1076.54142,70345351.8533755,253818,583.60766,38145363.9459652
2026-07-27 14:00:00,65217.38,65431.9,64459.82,64687.45,1132.47674,73445792.4368914,363218,456.37693,29602521.2113864
2026-07-27 15:00:00,64687.45,64776.0,64418.01,64554.01,596.28993,38529494.1613239,193632,256.16212,16550760.8864197
2026-07-27 16:00:00,64554.0,64970.93,64517.78,64898.52,473.37301,30645080.2455529,138892,264.02489,17092302.9006866
2026-07-27 17:00:00,64898.53,65090.0,64794.37,65019.81,404.49207,26282519.3037005,106137,217.3184,14119188.7091054
2026-07-27 18:00:00,65019.81,65058.32,64755.67,64878.0,323.26344,20971108.0358201,103751,145.95784,9466682.3062006
2026-07-27 19:00:00,64878.0,65078.0,64810.9,64984.0,291.82434,18961076.9540441,87379,156.05001,10138707.4584269
2026-07-27 20:00:00,64983.99,65056.0,64908.01,64960.65,197.69959,12842807.1781666,41029,62.04882,4031260.3244042
2026-07-27 21:00:00,64960.64,64960.65,64790.28,64821.25,238.07403,15443505.1351098,48757,103.87588,6736425.1086808
2026-07-27 22:00:00,64821.26,64821.26,63792.0,63792.0,1130.54656,72611677.0361381,175125,369.70721,23762871.281151
2026-07-27 23:00:00,63792.01,63940.27,63605.56,63755.86,947.65195,60428271.0295997,213254,498.09388,31764522.2713222
2026-07-28 00:00:00,63755.86,63827.49,63469.3,63487.88,711.04544,45241409.0802306,169433,303.26088,19298657.5250267
2026-07-28 01:00:00,63487.88,63529.89,63059.39,63230.83,1245.20979,78745932.606351,169082,620.19327,39220621.7566088
2026-07-28 02:00:00,63230.82,63305.94,63108.0,63185.59,429.21894,27129510.0632819,74778,213.95033,13523218.1478641
2026-07-28 03:00:00,63185.59,63375.39,63168.01,63343.83,728.50056,46106242.6215,82200,330.28478,20904998.7408022
2026-07-28 04:00:00,63343.82,63361.85,63221.26,63350.95,343.17382,21729082.8937507,54774,178.53281,11305019.5037355
2026-07-28 05:00:00,63350.95,63623.5,63323.09,63451.61,390.51839,24795787.401218,79485,211.75472,13446072.24695
2026-07-28 06:00:00,63451.62,63660.72,63395.13,63640.63,460.72288,29268533.9391909,65849,315.55427,20050054.7290066
2026-07-28 07:00:00,63640.63,63668.71,63455.58,63505.99,985.9853,62663727.7538175,102783,575.99487,36608751.5396968
2026-07-28 08:00:00,63506.0,63546.36,63406.11,63428.08,281.48766,17868113.2083383,61732,124.63225,7911070.8178976
2026-07-28 09:00:00,63428.07,63581.33,63368.81,63393.99,315.43759,20022638.8626359,53286,152.92505,9707550.3737368
2026-07-28 10:00:00,63393.99,63555.18,63294.0,63473.47,416.0357,26384422.8685576,68585,257.37121,16323872.4831774
2026-07-28 11:00:00,63473.48,63593.0,63352.0,63450.0,405.45329,25731573.5319725,88650,176.62162,11209853.7022537
2026-07-28 12:00:00,63449.99,63570.0,63364.96,63546.65,440.98415,27987616.2558895,81903,248.39028,15764611.5986378
2026-07-28 13:00:00,63546.65,63588.0,62742.47,63104.0,1615.91422,102019854.0123057,246058,638.54288,40323682.6060617
2026-07-28 14:00:00,63104.0,63550.0,62965.38,63412.45,868.98588,54962514.3274917,245995,480.90204,30425321.4061963
2026-07-28 15:00:00,63412.45,64026.62,63269.28,63928.47,945.11572,60224851.1102187,255294,564.49248,35984328.1605088
2026-07-28 16:00:00,63928.46,64100.0,63773.65,64043.26,517.94749,33105842.8988648,127746,277.68802,17751064.614053
2026-07-28 17:00:00,64043.27,64043.27,63504.0,63685.88,527.24876,33585040.755652,136751,254.46516,16206821.8838128
2026-07-28 18:00:00,63685.88,63849.09,63672.26,63734.49,311.5129,19853993.4615188,91738,153.50064,9783852.4501287
2026-07-28 19:00:00,63734.49,63904.0,63675.93,63904.0,333.27009,21260730.7927306,92728,168.45659,10746690.0808043
2026-07-28 20:00:00,63904.0,64018.39,63880.0,63917.55,300.22119,19193188.9551933,72588,185.67746,11870184.7330115
2026-07-28 21:00:00,63917.55,64073.3,63892.0,63972.44,227.23863,14540050.3383927,66729,127.38966,8151264.9991286
2026-07-28 22:00:00,63972.44,64020.76,63768.47,63783.71,319.67019,20427190.4581804,87736,145.09065,9271189.6135592
2026-07-28 23:00:00,63783.72,63956.4,63562.0,63915.0,768.93138,49053656.2963408,104040,364.35638,23243668.1459163
2026-07-29 00:00:00,63915.0,64200.0,63873.54,63953.99,862.01004,55179732.5155319,139010,557.49331,35684734.7686378
2026-07-29 01:00:00,63954.0,63999.0,63690.0,63705.06,643.74129,41114119.7587053,144717,354.42492,22635964.9213451
2026-07-29 02:00:00,63705.07,64132.42,63658.0,63979.96,459.75103,29385438.7041757,136780,244.41851,15620463.4543594
2026-07-29 03:00:00,63979.96,64002.0,63710.0,63753.03,381.54189,24346229.9501923,110033,203.01962,12952163.8572731
2026-07-29 04:00:00,63753.04,63970.92,63598.0,63968.34,635.48596,40556953.2850913,132658,334.67517,21359430.689265
2026-07-29 05:00:00,63968.34,64094.2,63890.07,64067.32,612.17163,39162949.8251779,104239,300.03805,19194255.2626472
2026-07-29 06:00:00,64067.32,64471.0,64026.64,64435.62,959.62083,61706872.778567,126527,563.90346,36278831.506434
2026-07-29 07:00:00,64435.63,64575.99,64402.67,64561.0,512.31101,33032632.189166,76908,272.67641,17581263.0543717
2026-07-29 08:00:00,64561.01,64588.0,64283.83,64417.31,442.88681,28528633.1875983,74311,206.67729,13312127.7275389
2026-07-29 09:00:00,64417.31,64744.81,64386.94,64698.0,689.93306,44544483.7429227,98196,426.49389,27537952.255105
2026-07-29 10:00:00,64698.01,64718.0,64410.24,64469.83,337.46395,21803515.154846,71737,144.30942,9323971.185631
2026-07-29 11:00:00,64469.84,64591.73,64422.5,64507.54,317.77588,20492529.4090724,59495,177.55825,11450171.6027884
2026-07-29 12:00:00,64507.53,64507.54,64215.93,64276.81,475.5158,30602231.1346298,105010,182.36522,11737312.3793717
2026-07-29 13:00:00,64276.82,64667.18,64139.68,64664.7,795.5697,51203140.7872196,234056,407.25947,26218098.3153374
2026-07-29 14:00:00,64664.69,64718.87,64047.71,64108.01,736.50705,47349376.859754,271295,325.79052,20946683.4893406
2026-07-29 15:00:00,64108.01,64195.0,63886.0,63964.01,727.70384,46608956.1267885,203275,332.65408,21307332.9998889
2026-07-29 16:00:00,63964.01,64146.53,63624.15,63808.33,758.02868,48411436.5486161,182815,412.43381,26342912.089461
2026-07-29 17:00:00,63808.33,64286.71,63709.19,64269.83,486.13508,31069872.2270986,147093,317.036,20262512.3680427
2026-07-29 18:00:00,64269.83,64648.79,63758.0,64501.52,1896.70634,122031914.998367,352484,970.30799,62433411.070184
2026-07-29 19:00:00,64501.52,64600.0,63511.0,63589.46,1453.05091,93053835.4427855,306133,743.02422,47588232.6059602
2026-07-29 20:00:00,63589.46,63746.42,63378.09,63522.01,788.59239,50121057.2619375,191587,458.88287,29169491.8395894
2026-07-29 21:00:00,63522.01,63860.0,63267.34,63860.0,771.02443,48985301.392461,148596,424.35431,26961513.8660969
2026-07-29 22:00:00,63860.0,64131.44,63859.99,63942.5,704.70887,45101067.0372233,120940,403.40017,25818347.4311713
2026-07-29 23:00:00,63942.5,64067.12,63899.0,63984.28,331.88265,21232627.3320104,77399,168.42067,10774818.0421091
2026-07-30 00:00:00,63984.29,64125.61,63603.92,63696.72,649.94769,41546653.6814672,108300,375.00353,23982321.9940255
